,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
26510,USA,United States of America,Outback Solar At Christmas Valley,USA0058131,4.4,43.2369,-120.49,Solar,,,,2012.0,Outback Solar  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,67009,2017.0,10.705,10.46,10.229,9.439,9.903,
26511,USA,United States of America,Overall Road Station,USA0056600,8.0,37.7608,-90.4526,Oil,,,,2003.0,City of Farmington - (MO),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,0.029,0.0,0.0,0.03,0.037,
26512,USA,United States of America,Owatonna,USA0002003,19.0,44.0833,-93.23,Gas,Oil,,,1982.0,City of Owatonna - (MN),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,29275,2017.0,0.0,0.0,0.0,0.0,1.0486,
26513,USA,United States of America,Owen Solar,USA0058742,5.0,35.5861,-81.3153,Solar,,,,2016.0,Owen Solar LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,,,,6.051,9.684,2.229638339845741
26514,USA,United States of America,Owens Corning Headquarters,USA0060038,2.1,41.6447,-83.5364,Solar,,,,2015.0,Constellation Solar Holding  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,70330,2017.0,,,0.129,1.81,1.721,0.9364481027352114
26515,USA,United States of America,Owens Corning at Bethlehem,USA0058550,2.0,42.5869,-73.865,Solar,,,,2013.0,Constellation Solar Holding  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,0.465,3.306,3.3080000000000003,3.359,3.325,
26516,USA,United States of America,Owens Valley Solar Project 11,USA0060953,1.0,36.2751,-118.0122,Solar,,,,2017.0,Los Angeles Department of Water & Power,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,,,,0.115,2.93,0.4459276679691483
26517,USA,United States of America,Owyhee Dam Power Project,USA0050361,4.3,43.6416,-117.2437,Hydro,,,,1985.0,Owyhee Irrigation District,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,29289,2017.0,11.435,10.139,8.507,13.366,27.93,
26518,USA,United States of America,Oxbow (CA),USA0000426,6.1,39.0034,-120.7467,Hydro,,,,1966.0,Placer County Water Agency,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,30261,2017.0,16.785,14.509,8.864,19.405,19.266,
26519,USA,United States of America,Oxbow (OR),USA0003014,190.0,44.9716,-116.835,Hydro,,,,1961.0,Idaho Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,22763,2017.0,744.02,831.631,750.0790000000001,900.918,1195.77,
26520,USA,United States of America,Oxford,USA0060022,2.8,42.1413,-71.8508,Solar,,,,2014.0,UGT Renewable Energy 13  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,67635,2017.0,,,4.7,4.717350000000001,4.164,1.2485974703136151
26521,USA,United States of America,Oxford (KS),USA0007432,5.1,37.2758,-97.1636,Oil,,,,2001.6666666666667,City of Oxford - (KS),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,29310,2017.0,0.0,0.0,0.0,0.0,0.0,
26522,USA,United States of America,Oxford (NE),USA0002295,3.4000000000000004,40.2581,-99.6108,Gas,Oil,,,1961.588235294117,Village of Oxford - (NE),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,29312,2017.0,0.1,0.066,0.06,0.0419999999999999,0.024,
26523,USA,United States of America,Oxford Dam,USA0002729,36.0,35.8214,-81.1922,Hydro,,,,1928.0,Duke Energy Carolinas  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,18734,2017.0,141.055,107.244,94.443,75.181,59.387,
26524,USA,United States of America,Oxnard,USA0050464,68.7,34.196,-119.1667,Gas,,,,1987.043668122271,Procter&Gamble Paper Products Co-Oxnard,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,32764,2017.0,554.827,536.005,548.167,502.206,503.526,
26525,USA,United States of America,Oxnard Paper Mill,USA0057585,29.0,34.1414,-119.1831,Gas,,,,1986.0,New-Indy  Oxnard LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,204.427,203.015,192.002,196.482,196.979,
26526,USA,United States of America,Oxnard Wastewater Treatment Plant,USA0050224,1.5,34.1405,-119.1845,Biomass,Gas,,,1981.0,Oxnard City of,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,6.365,6.368,6.378,6.401000000000001,6.033,
26527,USA,United States of America,Oyster Creek,USA0002388,550.0,39.8143,-74.2062,Nuclear,,,,1970.0,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,21222,2017.0,5101.554,4850.907,5258.829,4585.091,5430.191,
26528,USA,United States of America,Oyster Creek Unit VIII,USA0054676,497.9,28.9802,-95.342,Gas,,,,1994.0,Dow Chemical Company-Oyster Creek VIII,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,18598,2017.0,2339.97,2166.018998,2182.646,2388.070999,2397.656002,
26529,USA,United States of America,Ozark,USA0006142,100.0,35.4693,-93.8175,Hydro,,,,1973.2,USCE-Little Rock District,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,35585,2017.0,93.088,41.77,129.169,103.533,177.226,
26530,USA,United States of America,Ozark Beach,USA0006280,16.0,36.659,-93.1235,Hydro,,,,1931.0,Empire District Electric Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,19317,2017.0,57.528,60.693,41.955,55.294,33.844,
26531,USA,United States of America,Ozarks Natural Energy,USA0060924,1.0,36.1643,-94.0823,Solar,,,,2016.0,Ozarks Electric Coop Corp - (AR),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,,,,1.6,1.723,0.4459276679691483
